Square,mg.ml,Al_per_day,Fe_per_day,Pb_per_day,Density,AADT_max,AADT_sum,AADT_mean,Gd_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m,Ngc_dist_m,Prince_dist_m,Sd_dist_m,Eastalco_dist_m
7,0.163333333,0.002491263,NA,0.001832656,7.040948675,2921,4822,2411,2200674.918,4168443.212,13988949.12,4165201.843,2922868.784,10709458.49,7017347.394,13481335.93,1766375.561,13809253
73,1.993333333,0.000685773,0.00053975,0.001993791,13.52894734,52294,59087,14771.75,10107030.01,11971789.95,8685017.418,14018202.52,9516208.374,16994203.23,5757745.23,13677413.35,11123046.56,13873755.38
57,0.706666667,0.000713814,0.000411359,0.002087577,16.00025481,15830,32322,10774,18280510.36,14765704.26,7042568.634,16048882.92,18073973.96,8472781.668,14106540,6246287.196,19535915.11,5512915.229
70,0.006666667,0.471116473,NA,0.002443186,13.52894734,64785,122881,20480.16667,8018299.246,3405491.644,17604713.97,9776167.318,9160437.016,8127403.752,12328710.94,11619153.61,8808996.332,10135550.07
41,0.616666667,0.000532086,0.002123677,0.079104318,10.26783045,1901,1901,1901,6367464.692,3694605.385,17506485.23,11282187.23,7209533.97,12713154.9,8525770.001,15879970.9,8019335.23,14100213.55
12,0.126666667,0.004372689,0.000983341,NA,7.040948675,2971,7793,2597.666667,5756087.481,8925313.945,10670251.15,10023883.2,5086284.986,18467038.18,1773391.943,16650046.61,6697954.715,17957406.84
70,0.443333333,0.000530682,0.001469036,NA,13.52894734,64785,122881,20480.16667,8018299.246,3405491.644,17604713.97,9776167.318,9160437.016,8127403.752,12328710.94,11619153.61,8808996.332,10135550.07
18,0.06,0.004434341,0.023009191,NA,12.34156104,1722,2403,1201.5,4328107.898,3783590.305,14531693.18,4238492.445,5146827.655,8640725.846,9243258.342,11835916.35,3867917.002,11776828.8
8,0.06,0.002427633,NA,NA,7.040948675,11232,14714,4904.666667,12962356.74,8918229.842,12929439.88,15898416.37,13850397.79,9268920.319,13725582.91,10101988.6,14458066.81,8355812.266
12,0.1,0.002138378,NA,NA,7.040948675,2971,7793,2597.666667,5756087.481,8925313.945,10670251.15,10023883.2,5086284.986,18467038.18,1773391.943,16650046.61,6697954.715,17957406.84
